City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind speed,
542,elizabeth city,1,US,1520588400,77,36.3,-76.22,37.4,9.17,
545,townsville,40,AU,1520586000,69,-19.26,146.82,80.6,20.8,
551,bani,44,DO,1520589218,86,15.89,120.27,80.36,3.6,
555,tiarei,20,PF,1520587800,78,-17.53,-149.33,78.8,3.36,
557,ugoofaaru,0,MV,1520589110,100,5.67,73,84.01,11.43,
559,pauini,44,BR,1520589024,95,-7.71,-67,76.31,2.59,
560,kuantan,75,MY,1520586000,70,3.82,103.33,87.8,9.17,
561,yerbogachen,44,RU,1520589061,67,61.28,108.01,18.89,4.38,
562,hailar,80,CN,1520589179,76,49.2,119.7,14.93,9.53,
564,bathsheba,40,BB,1520586000,88,13.22,-59.52,77,17.22,
566,palmital,0,BR,1520589024,86,-22.79,-50.22,68.98,10.65,
567,gryazovets,0,RU,1520589034,83,58.88,40.25,17.54,5.95,
568,santa rosa,40,BO,1520589222,68,-36.62,-64.29,66.2,6.93,
571,keuruu,90,FI,1520587200,86,62.26,24.71,26.6,9.17,
573,darnah,0,LY,1520589130,100,32.77,22.64,60.16,11.21,
574,sao filipe,0,CV,1520589144,96,14.9,-24.5,70.78,13.56,
575,waingapu,76,ID,1520589155,84,-9.65,120.26,80.59,6.96,
576,skibbereen,75,IE,1520587800,93,51.55,-9.27,41,11.41,
577,sioni,90,GE,1520586000,93,41.99,45.02,50,16.11,
579,shelburne,90,CA,1520587680,92,44.08,-80.2,28.4,3.36,
580,mumbwa,0,ZM,1520589203,74,-14.99,27.06,84.37,8.75,
586,timiryazevskiy,32,RU,1520589062,100,47.05,39.61,38.69,6.62,
588,isangel,92,VU,1520589224,100,-19.55,169.27,79.51,21.94,
591,altay,12,CN,1520589180,79,47.83,88.13,32.08,1.92,
594,lubumbashi,20,CD,1520589201,92,-11.66,27.48,79.28,8.19,
600,porto novo,75,CV,1520586000,94,-23.68,-45.44,68,3.36,
602,kieta,64,PG,1520589190,89,-6.22,155.63,82.57,4.16,
603,ixtapa,5,MX,1520584920,100,20.71,-105.21,62.6,4.7,
604,muros,75,ES,1520587800,100,42.77,-9.06,55.4,18.34,
605,iskateley,80,RU,1520589062,89,67.68,53.15,8.41,11.32,
607,makakilo city,1,US,1520585820,63,21.35,-158.09,69.8,10.29,
609,victoria,75,SC,1520586000,83,5.28,115.24,86,11.41,
611,rumonge,68,BI,1520589120,100,-3.97,29.44,72.94,5.17,
618,bolshaya martynovka,32,RU,1520589063,100,47.27,41.67,35.36,5.84,
623,parrita,0,CR,1520586000,73,9.52,-84.33,71.6,18.34,
626,saint-francois,0,GP,1520587800,62,46.42,3.91,53.6,8.05,
628,westport,0,NZ,1520587800,69,53.8,-9.52,37.4,2.24,
